prompt_id,cluster,language,run,similarity_to_en,word_count,method
P001,MORAL_REASONING,de,1,0.1015,261,tfidf_char_ngram
P001,MORAL_REASONING,en,1,1.0,223,tfidf_char_ngram
P001,MORAL_REASONING,es,1,0.142,205,tfidf_char_ngram
P001,MORAL_REASONING,fr,1,0.1511,319,tfidf_char_ngram
P001,MORAL_REASONING,it,1,0.128,237,tfidf_char_ngram
P001,MORAL_REASONING,ro,1,0.1293,213,tfidf_char_ngram
P001,MORAL_REASONING,de,2,0.1201,295,tfidf_char_ngram
P001,MORAL_REASONING,en,2,1.0,220,tfidf_char_ngram
P001,MORAL_REASONING,es,2,0.1721,206,tfidf_char_ngram
P001,MORAL_REASONING,fr,2,0.1735,289,tfidf_char_ngram
P001,MORAL_REASONING,it,2,0.166,288,tfidf_char_ngram
P001,MORAL_REASONING,ro,2,0.1251,191,tfidf_char_ngram
P001,MORAL_REASONING,de,3,0.1167,285,tfidf_char_ngram
P001,MORAL_REASONING,en,3,1.0,223,tfidf_char_ngram
P001,MORAL_REASONING,es,3,0.1698,232,tfidf_char_ngram
P001,MORAL_REASONING,fr,3,0.1848,295,tfidf_char_ngram
P001,MORAL_REASONING,it,3,0.1419,270,tfidf_char_ngram
P001,MORAL_REASONING,ro,3,0.1532,224,tfidf_char_ngram
P002,LEADERSHIP_CULTURE,de,1,0.1415,182,tfidf_char_ngram
P002,LEADERSHIP_CULTURE,en,1,1.0,203,tfidf_char_ngram
P002,LEADERSHIP_CULTURE,es,1,0.1914,207,tfidf_char_ngram
P002,LEADERSHIP_CULTURE,fr,1,0.2413,208,tfidf_char_ngram
P002,LEADERSHIP_CULTURE,it,1,0.216,202,tfidf_char_ngram
P002,LEADERSHIP_CULTURE,ro,1,0.1929,191,tfidf_char_ngram
P002,LEADERSHIP_CULTURE,de,2,0.1579,186,tfidf_char_ngram
P002,LEADERSHIP_CULTURE,en,2,1.0,194,tfidf_char_ngram
P002,LEADERSHIP_CULTURE,es,2,0.1821,185,tfidf_char_ngram
P002,LEADERSHIP_CULTURE,fr,2,0.2066,203,tfidf_char_ngram
P002,LEADERSHIP_CULTURE,it,2,0.216,189,tfidf_char_ngram
P002,LEADERSHIP_CULTURE,ro,2,0.1674,189,tfidf_char_ngram
P002,LEADERSHIP_CULTURE,de,3,0.1656,193,tfidf_char_ngram
P002,LEADERSHIP_CULTURE,en,3,1.0,199,tfidf_char_ngram
P002,LEADERSHIP_CULTURE,es,3,0.1884,221,tfidf_char_ngram
P002,LEADERSHIP_CULTURE,fr,3,0.2307,193,tfidf_char_ngram
P002,LEADERSHIP_CULTURE,it,3,0.2219,192,tfidf_char_ngram
P002,LEADERSHIP_CULTURE,ro,3,0.1656,194,tfidf_char_ngram
P003,METALINGUISTIC,de,1,0.1696,172,tfidf_char_ngram
P003,METALINGUISTIC,en,1,1.0,211,tfidf_char_ngram
P003,METALINGUISTIC,es,1,0.2078,316,tfidf_char_ngram
P003,METALINGUISTIC,fr,1,0.3195,280,tfidf_char_ngram
P003,METALINGUISTIC,it,1,0.2672,241,tfidf_char_ngram
P003,METALINGUISTIC,ro,1,0.2623,213,tfidf_char_ngram
P003,METALINGUISTIC,de,2,0.1772,204,tfidf_char_ngram
P003,METALINGUISTIC,en,2,1.0,216,tfidf_char_ngram
P003,METALINGUISTIC,es,2,0.2425,200,tfidf_char_ngram
P003,METALINGUISTIC,fr,2,0.3295,281,tfidf_char_ngram
P003,METALINGUISTIC,it,2,0.3187,223,tfidf_char_ngram
P003,METALINGUISTIC,ro,2,0.2608,212,tfidf_char_ngram
P003,METALINGUISTIC,de,3,0.1725,160,tfidf_char_ngram
P003,METALINGUISTIC,en,3,1.0,230,tfidf_char_ngram
P003,METALINGUISTIC,es,3,0.2315,212,tfidf_char_ngram
P003,METALINGUISTIC,fr,3,0.3283,213,tfidf_char_ngram
P003,METALINGUISTIC,it,3,0.2185,214,tfidf_char_ngram
P003,METALINGUISTIC,ro,3,0.2383,223,tfidf_char_ngram
P004,EMOTIONAL_SUPPORT,de,1,0.0982,176,tfidf_char_ngram
P004,EMOTIONAL_SUPPORT,en,1,1.0,214,tfidf_char_ngram
P004,EMOTIONAL_SUPPORT,es,1,0.1137,206,tfidf_char_ngram
P004,EMOTIONAL_SUPPORT,fr,1,0.1457,209,tfidf_char_ngram
P004,EMOTIONAL_SUPPORT,it,1,0.0999,196,tfidf_char_ngram
P004,EMOTIONAL_SUPPORT,ro,1,0.1157,206,tfidf_char_ngram
P004,EMOTIONAL_SUPPORT,de,2,0.0747,193,tfidf_char_ngram
P004,EMOTIONAL_SUPPORT,en,2,1.0,214,tfidf_char_ngram
P004,EMOTIONAL_SUPPORT,es,2,0.086,218,tfidf_char_ngram
P004,EMOTIONAL_SUPPORT,fr,2,0.1281,205,tfidf_char_ngram
P004,EMOTIONAL_SUPPORT,it,2,0.116,187,tfidf_char_ngram
P004,EMOTIONAL_SUPPORT,ro,2,0.0736,187,tfidf_char_ngram
P004,EMOTIONAL_SUPPORT,de,3,0.0814,175,tfidf_char_ngram
P004,EMOTIONAL_SUPPORT,en,3,1.0,216,tfidf_char_ngram
P004,EMOTIONAL_SUPPORT,es,3,0.0962,204,tfidf_char_ngram
P004,EMOTIONAL_SUPPORT,fr,3,0.1212,199,tfidf_char_ngram
P004,EMOTIONAL_SUPPORT,it,3,0.0988,211,tfidf_char_ngram
P004,EMOTIONAL_SUPPORT,ro,3,0.0971,186,tfidf_char_ngram
P005,TECHNICAL_EXPLANATION,de,1,0.112,405,tfidf_char_ngram
P005,TECHNICAL_EXPLANATION,en,1,1.0,554,tfidf_char_ngram
P005,TECHNICAL_EXPLANATION,es,1,0.1268,544,tfidf_char_ngram
P005,TECHNICAL_EXPLANATION,fr,1,0.1432,516,tfidf_char_ngram
P005,TECHNICAL_EXPLANATION,it,1,0.1352,502,tfidf_char_ngram
P005,TECHNICAL_EXPLANATION,ro,1,0.1817,418,tfidf_char_ngram
P005,TECHNICAL_EXPLANATION,de,2,0.1224,425,tfidf_char_ngram
P005,TECHNICAL_EXPLANATION,en,2,1.0,439,tfidf_char_ngram
P005,TECHNICAL_EXPLANATION,es,2,0.1192,552,tfidf_char_ngram
P005,TECHNICAL_EXPLANATION,fr,2,0.1476,518,tfidf_char_ngram
P005,TECHNICAL_EXPLANATION,it,2,0.1323,511,tfidf_char_ngram
P005,TECHNICAL_EXPLANATION,ro,2,0.1097,440,tfidf_char_ngram
P005,TECHNICAL_EXPLANATION,de,3,0.1154,416,tfidf_char_ngram
P005,TECHNICAL_EXPLANATION,en,3,1.0,555,tfidf_char_ngram
P005,TECHNICAL_EXPLANATION,es,3,0.1243,526,tfidf_char_ngram
P005,TECHNICAL_EXPLANATION,fr,3,0.1626,520,tfidf_char_ngram
P005,TECHNICAL_EXPLANATION,it,3,0.1429,523,tfidf_char_ngram
P005,TECHNICAL_EXPLANATION,ro,3,0.1198,433,tfidf_char_ngram
P006,ABSTRACT_ETHICS_AI,de,1,0.1259,340,tfidf_char_ngram
P006,ABSTRACT_ETHICS_AI,en,1,1.0,235,tfidf_char_ngram
P006,ABSTRACT_ETHICS_AI,es,1,0.2308,503,tfidf_char_ngram
P006,ABSTRACT_ETHICS_AI,fr,1,0.227,497,tfidf_char_ngram
P006,ABSTRACT_ETHICS_AI,it,1,0.217,461,tfidf_char_ngram
P006,ABSTRACT_ETHICS_AI,ro,1,0.2085,431,tfidf_char_ngram
P006,ABSTRACT_ETHICS_AI,de,2,0.1257,339,tfidf_char_ngram
P006,ABSTRACT_ETHICS_AI,en,2,1.0,229,tfidf_char_ngram
P006,ABSTRACT_ETHICS_AI,es,2,0.2314,503,tfidf_char_ngram
P006,ABSTRACT_ETHICS_AI,fr,2,0.2352,480,tfidf_char_ngram
P006,ABSTRACT_ETHICS_AI,it,2,0.2094,470,tfidf_char_ngram
P006,ABSTRACT_ETHICS_AI,ro,2,0.2019,445,tfidf_char_ngram
P006,ABSTRACT_ETHICS_AI,de,3,0.1238,338,tfidf_char_ngram
P006,ABSTRACT_ETHICS_AI,en,3,1.0,248,tfidf_char_ngram
P006,ABSTRACT_ETHICS_AI,es,3,0.2271,438,tfidf_char_ngram
P006,ABSTRACT_ETHICS_AI,fr,3,0.2581,498,tfidf_char_ngram
P006,ABSTRACT_ETHICS_AI,it,3,0.2331,428,tfidf_char_ngram
P006,ABSTRACT_ETHICS_AI,ro,3,0.2051,451,tfidf_char_ngram
P007,CREATIVE_NARRATIVE,de,1,0.0515,119,tfidf_char_ngram
P007,CREATIVE_NARRATIVE,en,1,1.0,137,tfidf_char_ngram
P007,CREATIVE_NARRATIVE,es,1,0.0436,139,tfidf_char_ngram
P007,CREATIVE_NARRATIVE,fr,1,0.0492,149,tfidf_char_ngram
P007,CREATIVE_NARRATIVE,it,1,0.0596,142,tfidf_char_ngram
P007,CREATIVE_NARRATIVE,ro,1,0.03,115,tfidf_char_ngram
P007,CREATIVE_NARRATIVE,de,2,0.0695,133,tfidf_char_ngram
P007,CREATIVE_NARRATIVE,en,2,1.0,128,tfidf_char_ngram
P007,CREATIVE_NARRATIVE,es,2,0.0438,151,tfidf_char_ngram
P007,CREATIVE_NARRATIVE,fr,2,0.0522,133,tfidf_char_ngram
P007,CREATIVE_NARRATIVE,it,2,0.0638,171,tfidf_char_ngram
P007,CREATIVE_NARRATIVE,ro,2,0.0472,144,tfidf_char_ngram
P007,CREATIVE_NARRATIVE,de,3,0.0512,147,tfidf_char_ngram
P007,CREATIVE_NARRATIVE,en,3,1.0,139,tfidf_char_ngram
P007,CREATIVE_NARRATIVE,es,3,0.0479,152,tfidf_char_ngram
P007,CREATIVE_NARRATIVE,fr,3,0.0366,126,tfidf_char_ngram
P007,CREATIVE_NARRATIVE,it,3,0.0576,154,tfidf_char_ngram
P007,CREATIVE_NARRATIVE,ro,3,0.0331,123,tfidf_char_ngram
P008,LIFE_DECISIONS,de,1,0.1426,212,tfidf_char_ngram
P008,LIFE_DECISIONS,en,1,1.0,234,tfidf_char_ngram
P008,LIFE_DECISIONS,es,1,0.1523,219,tfidf_char_ngram
P008,LIFE_DECISIONS,fr,1,0.2095,247,tfidf_char_ngram
P008,LIFE_DECISIONS,it,1,0.1525,202,tfidf_char_ngram
P008,LIFE_DECISIONS,ro,1,0.1421,225,tfidf_char_ngram
P008,LIFE_DECISIONS,de,2,0.1628,229,tfidf_char_ngram
P008,LIFE_DECISIONS,en,2,1.0,233,tfidf_char_ngram
P008,LIFE_DECISIONS,es,2,0.1694,237,tfidf_char_ngram
P008,LIFE_DECISIONS,fr,2,0.219,283,tfidf_char_ngram
P008,LIFE_DECISIONS,it,2,0.159,200,tfidf_char_ngram
P008,LIFE_DECISIONS,ro,2,0.1573,230,tfidf_char_ngram
P008,LIFE_DECISIONS,de,3,0.1378,220,tfidf_char_ngram
P008,LIFE_DECISIONS,en,3,1.0,231,tfidf_char_ngram
P008,LIFE_DECISIONS,es,3,0.1579,255,tfidf_char_ngram
P008,LIFE_DECISIONS,fr,3,0.256,273,tfidf_char_ngram
P008,LIFE_DECISIONS,it,3,0.1652,263,tfidf_char_ngram
P008,LIFE_DECISIONS,ro,3,0.1601,189,tfidf_char_ngram
P009,FACTUAL_RECALL,de,1,0.0752,27,tfidf_char_ngram
P009,FACTUAL_RECALL,en,1,1.0,20,tfidf_char_ngram
P009,FACTUAL_RECALL,es,1,0.0631,73,tfidf_char_ngram
P009,FACTUAL_RECALL,fr,1,0.1567,90,tfidf_char_ngram
P009,FACTUAL_RECALL,it,1,0.0675,30,tfidf_char_ngram
P009,FACTUAL_RECALL,ro,1,0.0677,43,tfidf_char_ngram
P009,FACTUAL_RECALL,de,2,0.0745,18,tfidf_char_ngram
P009,FACTUAL_RECALL,en,2,1.0,32,tfidf_char_ngram
P009,FACTUAL_RECALL,es,2,0.0547,43,tfidf_char_ngram
P009,FACTUAL_RECALL,fr,2,0.1319,116,tfidf_char_ngram
P009,FACTUAL_RECALL,it,2,0.0726,38,tfidf_char_ngram
P009,FACTUAL_RECALL,ro,2,0.0809,52,tfidf_char_ngram
P009,FACTUAL_RECALL,de,3,0.0668,27,tfidf_char_ngram
P009,FACTUAL_RECALL,en,3,1.0,33,tfidf_char_ngram
P009,FACTUAL_RECALL,es,3,0.0491,40,tfidf_char_ngram
P009,FACTUAL_RECALL,fr,3,0.1409,114,tfidf_char_ngram
P009,FACTUAL_RECALL,it,3,0.0862,35,tfidf_char_ngram
P009,FACTUAL_RECALL,ro,3,0.0697,28,tfidf_char_ngram
P010,IMPLICIT_CULTURAL_KNOWLEDGE,de,1,0.1196,170,tfidf_char_ngram
P010,IMPLICIT_CULTURAL_KNOWLEDGE,en,1,1.0,240,tfidf_char_ngram
P010,IMPLICIT_CULTURAL_KNOWLEDGE,es,1,0.1926,193,tfidf_char_ngram
P010,IMPLICIT_CULTURAL_KNOWLEDGE,fr,1,0.1589,202,tfidf_char_ngram
P010,IMPLICIT_CULTURAL_KNOWLEDGE,it,1,0.1655,205,tfidf_char_ngram
P010,IMPLICIT_CULTURAL_KNOWLEDGE,ro,1,0.1345,197,tfidf_char_ngram
P010,IMPLICIT_CULTURAL_KNOWLEDGE,de,2,0.1075,167,tfidf_char_ngram
P010,IMPLICIT_CULTURAL_KNOWLEDGE,en,2,1.0,248,tfidf_char_ngram
P010,IMPLICIT_CULTURAL_KNOWLEDGE,es,2,0.1602,203,tfidf_char_ngram
P010,IMPLICIT_CULTURAL_KNOWLEDGE,fr,2,0.1494,207,tfidf_char_ngram
P010,IMPLICIT_CULTURAL_KNOWLEDGE,it,2,0.1364,211,tfidf_char_ngram
P010,IMPLICIT_CULTURAL_KNOWLEDGE,ro,2,0.1399,206,tfidf_char_ngram
P010,IMPLICIT_CULTURAL_KNOWLEDGE,de,3,0.1048,157,tfidf_char_ngram
P010,IMPLICIT_CULTURAL_KNOWLEDGE,en,3,1.0,243,tfidf_char_ngram
P010,IMPLICIT_CULTURAL_KNOWLEDGE,es,3,0.1433,191,tfidf_char_ngram
P010,IMPLICIT_CULTURAL_KNOWLEDGE,fr,3,0.1563,198,tfidf_char_ngram
P010,IMPLICIT_CULTURAL_KNOWLEDGE,it,3,0.1556,221,tfidf_char_ngram
P010,IMPLICIT_CULTURAL_KNOWLEDGE,ro,3,0.1455,197,tfidf_char_ngram
P011,REGISTER_SWITCHING,de,1,0.214,246,tfidf_char_ngram
