cluster,de,en,es,fr,it,ro
ABSTRACT_ETHICS_AI,339.0,237.3,481.3,491.7,453.0,442.3
AMBIGUOUS_REFERENT,46.7,100.7,152.7,157.7,119.0,124.3
CREATIVE_NARRATIVE,133.0,134.7,147.3,136.0,155.7,127.3
EMOTIONAL_SUPPORT,181.3,214.7,209.3,204.3,198.0,193.0
FACTUAL_RECALL,24.0,28.3,52.0,106.7,34.3,41.0
IMPLICIT_CULTURAL_KNOWLEDGE,164.7,243.7,195.7,202.3,212.3,200.0
LEADERSHIP_CULTURE,187.0,198.7,204.3,201.3,194.3,191.3
LIFE_DECISIONS,220.3,232.7,237.0,267.7,221.7,214.7
METALINGUISTIC,178.7,219.0,242.7,258.0,226.0,216.0
MORAL_REASONING,280.3,222.0,214.3,301.0,265.0,209.3
REGISTER_SWITCHING,289.0,212.7,196.7,352.3,276.3,248.3
TECHNICAL_EXPLANATION,415.3,516.0,540.7,518.0,512.0,430.3
