cluster,de,en,es,fr,it,ro
ABSTRACT_ETHICS_AI,0.0,100.0,100.0,33.3,66.7,0.0
AMBIGUOUS_REFERENT,100.0,100.0,100.0,100.0,100.0,100.0
CREATIVE_NARRATIVE,0.0,0.0,0.0,0.0,0.0,0.0
EMOTIONAL_SUPPORT,100.0,100.0,100.0,100.0,100.0,66.7
FACTUAL_RECALL,0.0,0.0,33.3,100.0,0.0,0.0
IMPLICIT_CULTURAL_KNOWLEDGE,100.0,100.0,100.0,100.0,100.0,100.0
LEADERSHIP_CULTURE,100.0,100.0,100.0,100.0,100.0,100.0
LIFE_DECISIONS,100.0,100.0,100.0,100.0,100.0,100.0
METALINGUISTIC,100.0,100.0,100.0,100.0,100.0,100.0
MORAL_REASONING,100.0,100.0,100.0,100.0,100.0,100.0
REGISTER_SWITCHING,0.0,0.0,0.0,0.0,0.0,0.0
TECHNICAL_EXPLANATION,66.7,66.7,33.3,66.7,100.0,100.0
